TotalEnvSteps,REINFORCE-seed-3,REINFORCE-seed-1,REINFORCE-seed-0
68736,10.19999981,11.39999962,16.20000076
68864,9.300000191,10.5,16.10000038
68992,8.199999809,10.80000019,15.69999981
69120,8.699999809,11.5,13.30000019
69248,10.19999981,10.69999981,13.19999981
69376,11.5,10.39999962,12.30000019
69504,11,10.60000038,12.69999981
69632,10.10000038,10.69999981,15.69999981
69760,10.89999962,10.89999962,17.79999924
69888,10.5,10.19999981,15.19999981
70016,7.400000095,9.199999809,12.39999962
70144,6.599999905,10.39999962,13.10000038
70272,9.5,10.5,13.30000019
70400,10.5,10.19999981,14.60000038
70528,11,10.89999962,14.19999981
70656,9.600000381,10.80000019,12.69999981
70784,10.39999962,11.10000038,11.39999962
70912,8.800000191,10.69999981,14.69999981
71040,8.300000191,11.30000019,16.89999962
71168,7.800000191,9.399999619,14.89999962
71296,8.199999809,9,14.60000038
71424,7.800000191,11,14.10000038
71552,8.300000191,12.19999981,13.39999962
71680,9,12.69999981,13.69999981
71808,9.600000381,10.60000038,13.10000038
71936,9.399999619,9.600000381,14.89999962
72064,11.80000019,9.300000191,12.5
72192,12.30000019,10.69999981,12.5
72320,9.199999809,10.19999981,14.69999981
72448,8.100000381,10.60000038,14
72576,9.699999809,11.5,13.5
72704,10.5,11.19999981,13.39999962
72832,12,12.19999981,15.19999981
72960,10.19999981,11.30000019,15.30000019
73088,8.600000381,10.10000038,13.39999962
73216,9.600000381,10.19999981,13.10000038
73344,11.10000038,11.30000019,13.69999981
73472,14.69999981,11.5,14.10000038
73600,13.80000019,11,14.80000019
73728,10.19999981,9.5,12.80000019
73856,10.5,10.10000038,13.19999981
73984,9.600000381,10,14.19999981
74112,8.699999809,8.100000381,13.80000019
74240,9.699999809,7.599999905,16.39999962
74368,10.10000038,9.199999809,15.30000019
74496,9.699999809,9.300000191,12.69999981
74624,9.5,10.60000038,12.10000038
74752,9.5,10.89999962,13.89999962
74880,8.100000381,10.89999962,15.89999962
75008,9.300000191,10.60000038,12.10000038
75136,8,10.10000038,13
75264,9.899999619,10.39999962,15.80000019
75392,11.60000038,9.800000191,16.10000038
75520,10.10000038,10.60000038,14.39999962
75648,8.600000381,11.30000019,12.80000019
75776,7.400000095,12.19999981,13.89999962
75904,9.300000191,12,14.89999962
76032,9.300000191,12.19999981,13.10000038
76160,9.100000381,11.10000038,12.60000038
